ID,space_alias_name,space_type,space_category,department_occupied
2494,Pro Vice Chancellor,Office,Academic - Faculty,University of Exeter Business School
2495,Print + Store,Storage Space,Academic - Faculty,Clinical and Biomedical Sciences
2496,C6 Corridor,Balance Space,Other,Balance
2497,Stores / Oil Tank,Workshops,Support,Stores
2498,News Room,Specialist Area,Other,University College Falmouth
2499,Staff Dining,Other Space,Academic - Faculty,Clinical and Biomedical Sciences
2500,Computer Lab,Computer Room,Academic - Faculty,"Faculty of Environment, Science and Economy"
2501,Band Store,Storage Space,Other,Student Guild
2502,STAFF REST ROOM,Social Space,Support,Social Space St Luke's
2503,Copy Room 2,Specialist Area,Other,University College Falmouth
2504,Fridge,Laboratory,Academic - Faculty,University of Exeter Medical School
2505,CAD Cam,Specialist Area,Other,University College Falmouth
2506,Lab Storage,Laboratory,Academic - Faculty,University of Exeter Medical School
2507,External Play / Balcony,Other Space,Other,Third Party Accounts
2508,ESS Queen's Hub Office,Office,Support,Hubs
2509,HASS Infrastructure,Office,Support,Strategic Space
2510,Student Study Area,Study Space [PS],Support,Education and Academic Services
2511,Pret Prep Kitchen,Retail Outlets,Other,Third Party Accounts
2512,Drying Room,Social Space,Support,Social Space St Luke's
2513,Store Academic Services,Storage Space,Support,Combined Services
2514,Parker Moot LT Upper Seating,Lecture Theatre [PS],Academic - Central,Centrally Bookable Space
2515,Store,Storage Space,Support,Estate Patrol
2516,Analytical Lab 2,Laboratory,Academic - Faculty,"Faculty of Environment, Science and Economy"
2517,Studio 3,Specialist Area,Academic - Faculty,"Communications, Drama and Film"
2518,Queen's Info Point,Office,Support,Hubs
2519,Male Changing,Balance Space,Residential,Balance
2520,CO2 Research Lab,Specialist Area,Academic - Faculty,Geography
2521,Stair 5 (Street),Balance Space,Other,Balance
2522,Catering Kitchen,Other Space,Other,Other
2523,Lemon Grove Female WC,Balance Space,Other,Balance
2524,Student Services (Room 7),Other Space,Support,Careers Information and Systems
2525,Guild Activity Space 2,Other Space,Other,Student Guild
2526,Chlorine Tank,Balance Space,Other,Balance
2527,Corridor outside Music Seminar Room,Balance Space,Other,Balance
2528,Lab Store,Storage Space,Academic - Faculty,University of Exeter Medical School
2529,Academic,Office,Academic - Faculty,Film
2530,Art Society external Store B,Storage Space,Other,Student Guild
2531,Language Lab,Teaching/PC Cluster [PS],Academic - Central,Centrally Bookable Space
2532,Office,Office,Other,Other
2533,Innovation Caf̩ Kitchen,Other Space,Support,Catering and Food Services
2534,Clinical Skills Teaching Room 4,Seminar Room,Other,Other
2535,First floor corridor,Balance Space,Other,Balance
2536,Staff Office behind Information Point,Office,Support,Forum
2537,Reed Kitchen Extraction Plant,Balance Space,Other,Balance
2538,Tea,Other Space,Other,Other
2539,Female Staff WC & Shower,Balance Space,Residential,Balance
2540,Reception / Office,Office,Support,Estate Services
2541,Mezzanine Bar,Other Space,Residential,Residence Operations
2542,Female Changing,Balance Space,Residential,Balance
2543,Reception,Other Space,Support,University
2544,Test Observation Laboratory,Laboratory,Academic - Faculty,University of Exeter Medical School
2545,Shower wet room,Balance Space,Other,Balance
2546,Lab Store,Storage Space,Academic - Faculty,Geography
2547,Meeting Room,Meeting Room,Academic - Faculty,Geography
2548,Interstitial Zone,Balance Space,Other,Balance
2549,Dobson Discussion Room,Study Space,Academic - Faculty,University of Exeter Business School
2550,Seating Lounge,Other Space,Academic - Faculty,Clinical and Biomedical Sciences
2551,East Wing Foyer,Balance Space,Other,Balance
2552,Greenhouse,Other Space,Other,University
2553,Furniture Store,Storage Space,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2554,Back lobby,Balance Space,Other,Balance
2555,Store,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2556,Store-Cleaner,Balance Space,Other,Balance
2557,Control Room 1,Specialist Area,Other,University College Falmouth
2558,Porch,Balance Space,Residential,Balance
2559,Breakout/Teapoint,Social Space,Academic - Faculty,University of Exeter Medical School
2560,Support Room 5,Other Space,Support,Student Services Penryn
2561,Health Centre - CONSULTING ROOM 3,Other Space,Other,Third Party Accounts
2562,First Aid Room,Other Space,Support,Combined Services
2563,Tissue Culture - entrance,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2564,Manager's Office,Office,Support,Combined Services
2565,Male WC,Balance Space,Other,Other
2566,Electric Room,Balance Space,Other,Balance
2567,Store / boiler room - vacant at 03/12/13,Other Space,Other,University
2568,Isca Eats Restaurant,Central Catering,Support,Social Space Streatham
2569,CHUM Office [access via Queen's 3rd],Office,Academic - Faculty,Art History and Visual Culture
2570,Talks Studio,Specialist Area,Other,University College Falmouth
2571,BATHROOM,Balance Space,Other,Balance
2572,Play Area (<2yrs),Other Space,Other,Third Party Accounts
2573,Office 6 Academic,Office,Academic - Faculty,Communications Studies
2574,Oxidative Stress Lab,Laboratory,Academic - Faculty,University of Exeter Medical School
2575,Seminar Mobile 2,Seminar Room,Academic - Central,Penryn CBS
2576,Female WCs and Shower,Balance Space,Other,Balance
2577,LT1 Projection Room,Other Space,Academic - Central,Centrally Bookable Space
2578,Protected Stair (Egress),Balance Space,Other,Third Party Accounts
2579,Print Room,Storage Space,Academic - Faculty,University of Exeter Medical School
2580,Guild Meeting Room,Meeting Room,Other,Student Guild
2581,Harrison Study Space,Study Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
2582,Mechanical Workshop Teaching Laboratory,Specialist Area,Academic - Faculty,"Faculty of Environment, Science and Economy"
2583,The Amp (Amplified Band Practice Room),Leisure Facilities,Other,Student Guild
2584,Issue/Return,Library,Support,Combined Services
2585,Room F1 - Currently vacant (03/12/2013),Other Space,Other,University
2586,Meeting/Corridor,Balance Space,Other,Balance
2587,Store Room  2,Balance Space,Other,Balance
2588,UoE International Team,Office,Support,International Student Recruitment
2589,Training - Digital Photo,Specialist Area,Other,University College Falmouth
2590,Lecturer,Office,Academic - Faculty,University of Exeter Medical School
2591,AHU for 106,Balance Space,Other,Balance
2592,Art Society under stair store,Storage Space,Other,Student Guild
2593,Eco-Toxicology Lab,Laboratory,Academic - Faculty,"Faculty of Environment, Science and Economy"
2594,Medical School Lab,Specialist Area,Academic - Faculty,University of Exeter Medical School
2595,Lecture Theatre 5 - Raked Floor,Lecture Theatre,Academic - Central,Penryn CBS
2596,FO & Retail Manager's Office,Office,Support,Catering and Food Services
2597,Changing,Balance Space,Other,Balance
2598,Comms / Elec Room,Specialist Area,Other,University College Falmouth
2599,FCA,Office,Other,University College Falmouth
2600,Store Chemical Mix,Storage Space,Other,University College Falmouth
2601,Office & Sales,Office,Other,University College Falmouth
2602,Post Graduate Design Studies,Specialist Area,Other,University College Falmouth
2603,Meeting Space,Meeting Room,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2604,Refectory,Central Catering,Support,Catering and Food Services
2605,Lobby aside prep/washup room,Balance Space,Other,Balance
2606,Sports Hall,Leisure Facilities,Support,Combined Services
2607,Bar,Social Space,Other,Student Guild
2608,Health Centre - CONSULTING ROOM 1,Other Space,Other,Third Party Accounts
2609,Clinic Room 11,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2610,Lift 5,Balance Space,Other,Balance
2611,Store,Other Space,Other,Student Guild
2612,Postgrad Lobby,Balance Space,Other,Balance
2613,Office,Central Catering,Support,Catering and Food Services
2614,Postgraduate Office,Office,Academic - Faculty,Geography
2615,Imaging Suite,Office,Academic - Faculty,Clinical and Biomedical Sciences
2616,Riser (nr FF.003),Balance Space,Other,Third Party Accounts
2617,Glaze Room,Specialist Area,Other,University College Falmouth
2618,First Aid,Other Space,Support,FXplus Estates
2619,Linen,Other Space,Residential,Residence Operations
2620,PC Cluster Study Area,Study Space [PS],Support,Education and Academic Services
2621,1:1 room,Office,Support,Hubs
2622,PCC Hub Desk - Info @ PC,Office,Support,Hubs
2623,Advance Clinical Skills Room 1,Seminar Room,Other,Other
2624,Cleaner's Store,Other Space,Other,University College Falmouth
2625,Bell Tower,Balance Space,Other,Balance
2626,Bod Pod Room,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2627,Clinic Room 7,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2628,Zone 5 - Plant Room,Balance (Building Service) Space,Other,Balance
2629,Switch Room,Balance Space,Other,Balance
2630,Tissue Culture Room,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2631,Main Entrance Lobby,Balance Space,Other,Balance
2632,Store (Guild),Storage Space,Support,Catering and Food Services
2633,Administration,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2634,Stair 2,Balance Space,Other,Balance
2635,Health Centre - TREATMENT ROOM,Other Space,Other,Third Party Accounts
2636,Small Room 2,Other Space,Other,Student Guild
2637,Main Kitchen,Other Space,Other,Third Party Accounts
2638,Music Practice Room 1,Other Space,Other,Student Guild
2639,Zone 12 - Elec Switch Room,Balance Space,Other,Balance
2640,Office Access Centre,Office,Support,AccessAbility
2641,Broadwood Theatre Space (Studio Space),Leisure Facilities,Other,Student Guild
2642,Reception Office,Office,Support,FXplus Estates
2643,Music Store 1,Other Space,Other,Student Guild
2644,Lobby off FI Kitchen,Balance Space,Other,Balance
2645,Student Advice Unit - Office 2,Office,Other,Student Guild
2646,Guild Multi Use Facility & Reception,Social Space,Other,Student Guild
2647,server,Other Space,Other,University College Falmouth
2648,Fresh Ideas Office,Central Catering,Support,Catering and Food Services
2649,Small Group 1,Specialist Area,Academic - Faculty,University of Exeter Medical School
2650,Storage Cupboard,Balance Space,Other,Balance
2651,Stairs into Ram Cellar,Balance Space,Other,Balance
2652,General Purpose Teaching Laboratory,Specialist Area,Academic - Faculty,"Faculty of Environment, Science and Economy"
2653,Geography Teaching Lab,Specialist Area,Academic - Faculty,Geography
2654,Corridor,Storage Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
2655,News Booth,Specialist Area,Other,University College Falmouth
2656,Clinic Room 3,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2657,Professional Development and Talent Management,Office,Other,Other
2658,"Post Doc,PG,Academic Visitors",Office,Academic - Faculty,Geography
2659,Meeting Room 1,Meeting Room,Other,Other
2660,Commercial Marketing Office,Office,Support,"Finance, Infrastructure and Commercial Services"
2661,Senior Lecturer,Office,Academic - Faculty,University of Exeter Medical School
2662,Reception,Office,Other,Other
2663,Principle Stairs,Balance Space,Other,Balance
2664,Meeting Room,Meeting Room,Other,Other
2665,Waiting and Circulation Space,Balance Space,Other,Balance
2666,Porters Lodge Store,Storage Space,Support,"Finance, Infrastructure and Commercial Services"
2667,Trolley Issue/holding,Central Catering,Support,Social Space Penryn
2668,Seminar Mobile 3,Seminar Room,Academic - Central,Penryn CBS
2669,LV Switchroom,Balance Space,Other,Balance
2670,RESEARCH RM,Office,Academic - Faculty,Faculty of Health and Life Sciences
2671,Glass,Specialist Area,Other,University College Falmouth
2672,Shop Store & Cleaners,Storage Space,Residential,Residence Operations
2673,Forum Kitchen,Retail Outlets,Support,Catering and Food Services
2674,Catering Office & Store,Office,Residential,Residence Operations
2675,Common Room,Other Space,Academic - Faculty,University of Exeter Medical School
2676,Auditorium - Lobby +0 / west,Balance Space,Other,Balance
2677,AV Comms,Storage Space,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2678,Electrical,Balance Space,Other,Balance
2679,Stores,Storage Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
2680,Climate Change Research Lab,Specialist Area,Academic - Faculty,Geography
2681,The Collaboratory,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2682,DH1 kitchen,Central Catering,Support,Catering and Food Services
2683,Senate AV,Other Space,Support,Centrally Bookable Space
2684,Admissions,Office,Support,Education and Academic Services
2685,Advance Clinical Skills Room 2,Seminar Room,Other,Other
2686,La Touche Servery,Central Catering,Support,Catering and Food Services
2687,Riser,Other Space,Other,University College Falmouth
2688,Seminar Room 1,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2689,IT Cluster - Centrally Bookable,Teaching/PC Cluster [PS],Academic - Central,Centrally Bookable Space
2690,Social Learning,Social Space,Support,Social Space Penryn
2691,CS7,Seminar Room,Other,Other
2692,Student Advice Unit - Office 1,Office,Other,Student Guild
2693,Silent Group Study 3,Study Space [PS],Support,Combined Services
2694,PV Zone,Balance Space,Other,Balance
2695,Cinema Entrance,Other Space,Other,University College Falmouth
2696,Archive Store,Storage Space,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2697,"Records (""The Cave"")",Storage Space,Other,Other
2698,Toilet Lobby - Auditorium,Balance Space,Other,Balance
2699,Gas Incomer,Balance Space,Other,Balance
2700,"'The Theatre' (previously Dolby Room, M&D)",Other Space,Other,Student Guild
2701,Careers,Office,Support,Student Services Centre (SID)
2702,EI Office,Office,Support,Exeter Innovation
2703,Project Office 1,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
2704,Zone 8 - Plant Room,Balance (Building Service) Space,Other,Balance
2705,Music Practice Room 5,Other Space,Other,Student Guild
2706,DRESSING ROOM\STORE LEVEL 259.00,Social Space,Support,Social Space Streatham
2707,Physio & Rehabilitation,Leisure Facilities,Support,FXplus Estates
2708,Changing Room,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2709,Refectory dining area,Social Space,Support,Social Space Penryn
2710,Internal comms,Office,Support,External Engagement and Global
2711,Uptake Room 3,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2712,Events team,Office,Support,Events
2713,Seminar Mobile 1,Seminar Room,Academic - Central,Penryn CBS
2714,Pro Tools 4,Specialist Area,Other,University College Falmouth
2715,Bedroom 1,Bedroom,Residential,Residence Operations
2716,Finance (FICS & PS Connect Collaborative Shared),Office,Support,Banking Operations
2717,Graduation Team,Office,Support,Education and Academic Services
2718,AHU Plant,Balance (Building Service) Space,Other,Balance
2719,B&W Dark Room 1,Specialist Area,Other,University College Falmouth
2720,Key Store,Storage Space,Support,Estate Services
2721,External Solvent Store,Balance Space,Other,Balance
2722,RILD Lecture Theatre,Lecture Theatre,Other,University
2723,Chair Store,Balance Space,Other,Balance
2724,Kiln Room,Specialist Area,Other,University College Falmouth
2725,Tutorial Room 2,Seminar Room,Other,University College Falmouth
2726,Coldroom,Laboratory,Academic - Faculty,Geography
2727,CARe Team (Careers and Alumni Relations),Office,Academic - Faculty,University of Exeter Business School
2728,Warehouse Lobby,Balance Space,Other,Balance
2729,Welfare Room,Meeting Room,Academic - Faculty,Medical Imaging (Radiography)
2730,Male Changing Room,Balance Space,Other,Balance
2731,Executive Support Team,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
2732,Bottle Store,Storage Space,Other,Student Guild
2733,Other Space,Leisure Facilities,Other,Social Space St Luke's
2734,Gas Lab,Laboratory,Academic - Faculty,Geography
2735,AI Arena,Seminar Room,Academic - Faculty,"Faculty of Environment, Science and Economy"
2736,Toilets (Female) - Auditorium,Balance Space,Other,Balance
2737,Research Services - Cornwall Cluster & IIB,Office,Support,Cornwall (RDM)
2738,Exams Storage,Storage Space,Support,Exams
2739,Seminar Room 10 / The America Room,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2740,Plaster Store,Specialist Area,Other,University College Falmouth
2741,Vestibule,Balance Space,Other,Balance
2742,Showers (Female),Balance Space,Other,Balance
2743,Old Lang lab,Office,Support,Combined Services
2744,Stairs up from G.10,Balance Space,Other,Balance
2745,Breakout,Balance Space,Other,Other
2746,Office space,Office,Support,Learning Experiences and Innovation
2747,First Floor Balance,Balance Space,Other,Balance
2748,Accessible Toilet,Balance Space,Other,Balance
2749,Stairwell to Main Landing,Balance Space,Other,Balance
2750,Tutorial 1,Seminar Room,Other,University College Falmouth
2751,Basement Stairs,Balance Space,Other,Balance
2752,Zone 6 - Plant Room,Balance (Building Service) Space,Other,Balance
2753,Riser - Stair 4,Balance Space,Other,Balance
2754,Entrance Revolving Door,Balance Space,Other,Balance
2755,Stairs to Second,Balance Space,Other,Balance
2756,Comida & Comida Express,Retail Outlets,Support,Catering and Food Services
2757,Baby Change Unit 1,Other Space,Other,Third Party Accounts
2758,Events Officer,Office,Support,Education and Academic Services
2759,Sports Hall Store,Storage Space,Support,Combined Services
2760,Toilets (Male) - SSC,Balance Space,Other,Balance
2761,PVCs Office,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
2762,Breakout / Study Space,Study Space,Academic - Faculty,Faculty of Health and Life Sciences
2763,Nursery (2+),Other Space,Support,Combined Services
2764,Health Centre - COMMON ROOM,Other Space,Other,Third Party Accounts
2765,Riser,Balance Space,Other,Other
2766,Waiting Area/Circulation,Other Space,Academic - Faculty,Clinical and Biomedical Sciences
2767,F43 lobby,Balance Space,Other,Balance
2768,total of circulation for MC,Other Space,Other,University College Falmouth
2769,Clean Laboratory,Specialist Area,Academic - Faculty,Geography
2770,Pro Tools 2,Specialist Area,Other,University College Falmouth
2771,FCA Main Entrance,Other Space,Other,University College Falmouth
2772,Store (within A.0.01),Storage Space,Other,University College Falmouth
2773,Xpression FM lobby,Other Space,Other,Student Guild
2774,Revolving Door near Library,Balance Space,Other,Balance
2775,The Juke Box (Performance Space),Leisure Facilities,Other,Student Guild
2776,Ward 3,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2777,Key Workshop,Workshops,Support,Structural Team
2778,Composite Materials Teaching Laboratory,Specialist Area,Academic - Faculty,"Faculty of Environment, Science and Economy"
2779,Informal Meeting Area,Seminar Room,Academic - Faculty,University of Exeter Business School
2780,Academic Office (DVC x 2),Office,Support,Office of Vice-Chancellor and Senior Executive
2781,Garage 2,Other Space,Other,University
2782,Innovation Caf̩,Other Space,Support,Catering and Food Services
2783,Solvents,Other Space,Academic - Faculty,Clinical and Biomedical Sciences
2784,Garden Store,Specialist Area,Other,University College Falmouth
2785,Autoclaves / Dishwasher,Laboratory,Academic - Faculty,University of Exeter Medical School
2786,Divisional Directors office,Office,Support,University Corporate Services
2787,STORE UNDER STAIR,Balance Space,Other,Balance
2788,Lecture Theatre,Lecture Theatre [PS],Academic - Central,Penryn CBS
2789,University Shop Office,Retail Outlets,Support,Catering and Food Services
2790,Set Store,Specialist Area,Other,University College Falmouth
2791,Clean Lab lobby,Specialist Area,Academic - Faculty,Geography
2792,Riser (nr FF.009),Balance Space,Other,Third Party Accounts
2793,Private Lounge,Other Space,Other,University
2794,Central Instrument Store,Storage Space,Other,Student Guild
2795,PCC Hub - Study Space,Study Space [PS],Support,Education and Academic Services
2796,Kitchen,Other Space,Other,Social Space Streatham
2797,Director of Finance,Office,Support,Financial Planning and Reporting
2798,PS/DM's,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2799,1-to-1 Hub Room,Meeting Room,Support,Hubs
2800,Meeting Space,Meeting Room,Support,Strategic Delivery Unit
2801,Stair 4 (Seminar block),Balance Space,Other,Balance
2802,Seminar Room 4,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2803,Wardrobe / Costume Set Store,Storage Space,Other,Student Guild
2804,WC Unisex,Balance Space,Other,Balance
2805,Breakout Area/Circulation,Balance Space,Other,Balance
2806,UG Computer Room & Teaching Lab,Teaching/PC Cluster [PS],Academic - Central,Centrally Bookable Space
2807,PS Support Staff Office,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
2808,Practice Room 1 - Gym,Leisure Facilities,Support,Combined Services
2809,Equipment Workshop,Workshops,Academic - Faculty,University of Exeter Medical School
2810,Finance Ops & Procurement [PS Connect],Meeting Room,Support,PS Connect (Finance)
2811,Gamelan & Early Music (World Instrmnt) Store,Leisure Facilities,Other,Student Guild
2812,Lift 1,Balance Space,Other,Balance
2813,Office,Office,Academic - Faculty,Faculty of Health and Life Sciences
2814,STORE  LEVEL 268.29,Social Space,Support,Social Space Streatham
2815,Student Services (Room 16),Office,Support,AccessAbility
2816,Janitorial Store,Storage Space,Other,Social Space Penryn
2817,LRC room,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2818,Health Centre - PHYSIO,Other Space,Other,Third Party Accounts
2819,Prep Lab,Laboratory,Academic - Faculty,University of Exeter Medical School
2820,Studio 1,Specialist Area,Academic - Faculty,"Communications, Drama and Film"
2821,Electrics in Box Office,Balance Space,Other,Balance
2822,Seminar B Store,Storage Space,Academic - Central,Centrally Bookable Space
2823,Middle Foyer,Balance Space,Other,Balance
2824,Stair 10 (Street),Balance Space,Other,Balance
2825,Community Law Clinic,Specialist Area,Academic - Faculty,Law School
2826,Meeting Room with A/V,Meeting Room,Academic - Faculty,Finance and Accounting
2827,Hub Office,Office,Support,Hubs
2828,Buggy Store,Storage Space,Other,Third Party Accounts
2829,Xpression FM - WC,Balance Space,Other,Balance
2830,Pret A Manger,Retail Outlets,Other,Third Party Accounts
2831,Male Staff WC,Balance Space,Residential,Balance
2832,Basement Plant Room,Balance (Building Service) Space,Other,Balance
2833,Bicycle Storage,Cycle Parking,Other,University
2834,Poldhu Meeting Room,Meeting Room,Academic - Faculty,"Faculty of Environment, Science and Economy"
2835,Faculty Meeting Room,Meeting Room,Academic - Faculty,"Faculty of Environment, Science and Economy"
2836,Store,Storage Space,Support,University
2837,B1 Lobby,Balance Space,Other,Balance
2838,Washing & Drying,Specialist Area,Other,University College Falmouth
2839,Utility Room & Office,Other Space,Residential,Residence Operations
2840,Office 1,Office,Academic - Faculty,Film
2841,Shower / Changing,Balance Space,Other,Balance
2842,IT Workshop/Office,Office,Academic - Faculty,Faculty of Health and Life Sciences
2843,Bios/CBS Meeting Room,Meeting Room,Academic - Faculty,Faculty of Health and Life Sciences
2844,Lecture Theatre C,Lecture Theatre [PS],Academic - Central,Centrally Bookable Space
2845,Social Street (showers/WCs/vending),Social Space,Support,Social Space Penryn
2846,Produt director office,Office,Other,University College Falmouth
2847,B&W Dark Room 2,Specialist Area,Other,University College Falmouth
2848,Fitness Suite Stair Link & Fire Escape,Balance Space,Other,Balance
2849,Boiler Cupboard,Balance Space,Residential,Balance
2850,Career Zone,Other Space,Support,Student Services Penryn
2851,Store,Specialist Area,Academic - Faculty,"Faculty of Environment, Science and Economy"
2852,Bathroom,Balance Space,Residential,Balance
2853,Computer Room - Postgrad IT Suite,Computer Room,Academic - Faculty,University of Exeter Business School
2854,Female Changing Room,Balance Space,Other,Balance
2855,Conference Room 1,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2856,SEAS / TQAE Office,Office,Support,Learning Experiences and Innovation
2857,Academic Office for Professor based in SC,Office,Academic - Faculty,University of Exeter Medical School
2858,Student Services (Room 17) - training suite,Other Space,Support,AccessAbility
2859,LaTiS,Other Space,Support,Combined Services
2860,MRI Plant Room,Balance (Building Service) Space,Other,Balance
2861,Facilities Store,Storage Space,Support,Catering and Food Services
2862,Riser,Balance Space,Other,Third Party Accounts
2863,Plotter & Print Room,Office,Support,Estate Services
2864,Circulation,Balance Space,Other,Third Party Accounts
2865,Lovelace PC Suite,Computer Room,Academic - Faculty,"Faculty of Environment, Science and Economy"
2866,Milk Kitchen,Other Space,Support,Combined Services
2867,Test Laboratory,Laboratory,Academic - Faculty,University of Exeter Medical School
2868,Guild IT/Facilities Store,Storage Space,Other,Student Guild
2869,Lift 2,Balance Space,Other,Balance
2870,DNA Extraction Lab,Laboratory,Academic - Faculty,University of Exeter Medical School
2871,Meeting Room,Meeting Room,Academic - Central,Penryn CBS
2872,Store Room,Storage Space,Other,University
2873,CHUMS - PS Staff (ESE),Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2874,Hot Desking Office,Office,Academic - Faculty,University of Exeter Business School
2875,Circulation & Waiting Area,Balance Space,Other,Balance
2876,Office and print room,Office,Academic - Faculty,University of Exeter Medical School
2877,Creative Quadrant,Workshops,Academic - Faculty,University of Exeter Business School
2878,BASEMENT STORE,Balance Space,Other,Balance
2879,Hot Desk Area,Office,Academic - Faculty,Geography
2880,Clinical Skills Teaching Room 5,Seminar Room,Other,Other
2881,Meeting Room 1,Meeting Room,Academic - Faculty,"Faculty of Environment, Science and Economy"
2882,Control Room,Other Space,Other,University College Falmouth
2883,Kitchen Store,Central Catering,Support,Social Space Penryn
2884,Store in FI Kitchen,Central Catering,Support,Catering and Food Services
2885,GREEN ROOM LEVEL 268.29,Social Space,Support,Social Space Streatham
2886,Exam 3 (store),Storage Space,Academic - Faculty,Clinical and Biomedical Sciences
2887,Riser via SC-00_06,Balance Space,Other,Balance
2888,Service Yard WC,Balance Space,Other,Balance
2889,Woodwork Teaching Laboratory,Specialist Area,Academic - Faculty,"Faculty of Environment, Science and Economy"
2890,Social Street seating,Social Space,Support,Social Space Penryn
2891,FXPlus Office,Office,Support,FXplus HS
2892,Campus Caretaker's Room,Office,Support,FXplus Cleaners
2893,Workshop/demo,Specialist Area,Other,University College Falmouth
2894,Reception,Office,Support,Combined Services
2895,Conference Room 2,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2896,Refuse Store,Balance Space,Other,Balance
2897,Office,Office,Support,Welfare Operations
2898,"Poldhu Room - PGR/Post Doc Office, bookable",Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
2899,Media Resources,Specialist Area,Other,University College Falmouth
2900,Green Seminar,Seminar Room [PS],Academic - Central,Penryn CBS
2901,MRI Control Room,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2902,Store,Storage Space,Support,External Engagement and Global
2903,FX Plus store cupboard,Storage Space,Support,FXplus Estates
2904,Media Suite Store - XTV,Other Space,Other,Student Guild
2905,Margaret Hewitt Room,Central Catering,Support,Catering and Food Services
2906,Laboratory,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2907,Seminar Mobile 4,Seminar Room,Academic - Central,Penryn CBS
2908,Photo Studio - Large 1,Specialist Area,Other,University College Falmouth
2909,Stairway,Balance Space,Other,Balance
2910,Tank / Lift Motor Room,Balance Space,Other,Balance
2911,Seminar Z,Seminar Room,Other,University College Falmouth
2912,Compass 2,Other Space,Support,Student Services Penryn
2913,Practice Room 2 - Studio,Leisure Facilities,Support,Combined Services
2914,Computer Suite,Computer Room,Support,Combined Services
2915,PETCT Scanner,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2916,Baby Change Unit 2,Other Space,Other,Third Party Accounts
2917,Control Room,Specialist Area,Other,University College Falmouth
2918,Business Office 2,Office,Academic - Faculty,University of Exeter Business School
2919,Drones and Electronics,Laboratory,Academic - Faculty,"Faculty of Environment, Science and Economy"
2920,Room G4 - Currently vacant (15/12/2015),Storage Space,Other,University
2921,Breakout Space,Other Space,Academic - Faculty,University of Exeter Business School
2922,Seminar Fixed 2,Seminar Room,Academic - Central,Penryn CBS
2923,CMH Technician,Other Space,Academic - Faculty,University of Exeter Medical School
2924,Kitchen Store,Storage Space,Other,Third Party Accounts
2925,Lobby for PC Suite,Balance Space,Other,Balance
2926,Control Booth (disused),Other Space,Other,University
2927,Roof Stairs,Balance Space,Other,Balance
2928,Entrance,Balance Space,Other,Other
2929,Lift Mechanism Room,Balance (Building Service) Space,Other,Balance
2930,Uptake Room 1,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2931,ELECTRICAL STORE LEVEL 271.00,Social Space,Support,Social Space Streatham
2932,Wet Plant Room,Balance (Building Service) Space,Other,Balance
2933,Uptake Room 2,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2934,Seminar Fixed 1,Seminar Room,Academic - Central,Penryn CBS
2935,Meeting Room,Meeting Room,Support,Strategic Marketing
2936,Zone 7 - Plant Room,Balance (Building Service) Space,Other,Balance
2937,Female Staff Toilet,Balance Space,Other,Balance
2938,Wing Entrance,Balance Space,Other,Third Party Accounts
2939,Jam Jar Store,Storage Space,Other,Student Guild
2940,CMH Office,Office,Academic - Faculty,University of Exeter Medical School
2941,Hub Room ( South),Other Space,Support,University
2942,Post -Doc/PhD,Office,Academic - Faculty,University of Exeter Medical School
2943,Laundry - Residences,Other Space,Support,Residence Operations
